Dystans do przejscia: 100, dlugosc kroku: 5
0: (x,y) = (0,0)
1: (x,y) = (2.31901,4.42969)
2: (x,y) = (0.689962,9.15687)
3: (x,y) = (-2.89996,12.6372)
4: (x,y) = (1.72572,14.5353)
5: (x,y) = (6.64763,13.6551)
6: (x,y) = (1.66719,14.097)
7: (x,y) = (5.86263,11.377)
8: (x,y) = (0.90095,11.9948)
9: (x,y) = (4.52154,8.54646)
10: (x,y) = (7.95397,4.91075)
11: (x,y) = (7.22647,9.85754)
12: (x,y) = (3.73033,6.28305)
13: (x,y) = (3.35465,1.29719)
14: (x,y) = (6.13021,-2.86169)
15: (x,y) = (11.1253,-3.08275)
16: (x,y) = (12.071,-7.99251)
17: (x,y) = (12.0931,-12.9925)
18: (x,y) = (14.6821,-17.27)
19: (x,y) = (17.3087,-13.0155)
20: (x,y) = (15.1879,-17.5434)
21: (x,y) = (15.7838,-12.5791)
22: (x,y) = (10.8339,-11.8735)
23: (x,y) = (14.3615,-8.33006)
24: (x,y) = (19.1863,-9.64193)
25: (x,y) = (21.7753,-13.9195)
26: (x,y) = (26.712,-14.7124)
27: (x,y) = (31.1721,-12.4523)
28: (x,y) = (35.9729,-13.8494)
29: (x,y) = (40.6629,-12.1161)
30: (x,y) = (45.2542,-10.1364)
31: (x,y) = (40.6628,-8.15673)
32: (x,y) = (40.5523,-13.1555)
33: (x,y) = (42.471,-17.7727)
34: (x,y) = (37.4712,-17.817)
35: (x,y) = (40.0602,-22.0945)
36: (x,y) = (35.0727,-21.7409)
37: (x,y) = (37.9937,-25.7989)
38: (x,y) = (41.8208,-29.0166)
39: (x,y) = (42.7228,-24.0987)
40: (x,y) = (38.7571,-21.0534)
41: (x,y) = (42.0252,-17.2693)
42: (x,y) = (40.6494,-22.0763)
43: (x,y) = (42.1944,-17.321)
44: (x,y) = (42.7903,-12.3566)
45: (x,y) = (44.6269,-17.0071)
46: (x,y) = (39.6599,-17.5812)
47: (x,y) = (38.1148,-12.8259)
48: (x,y) = (36.1149,-17.4085)
49: (x,y) = (31.9683,-20.2025)
50: (x,y) = (29.4173,-15.9022)
51: (x,y) = (27.177,-11.4322)
52: (x,y) = (30.8278,-8.01589)
53: (x,y) = (25.8661,-7.39803)
54: (x,y) = (24.1955,-12.1106)
55: (x,y) = (21.0288,-8.24129)
56: (x,y) = (21.3163,-13.233)
57: (x,y) = (17.3778,-16.3133)
58: (x,y) = (21.4229,-19.2522)
59: (x,y) = (16.9628,-16.9922)
60: (x,y) = (12.4444,-19.1331)
61: (x,y) = (11.111,-14.3142)
62: (x,y) = (8.75288,-18.7232)
63: (x,y) = (7.93793,-13.79)
64: (x,y) = (12.7852,-15.0163)
65: (x,y) = (16.4058,-18.4647)
66: (x,y) = (20.3983,-21.4747)
67: (x,y) = (20.4204,-26.4746)
68: (x,y) = (25.3639,-25.7252)
69: (x,y) = (26.8669,-30.494)
70: (x,y) = (31.6799,-29.1393)
71: (x,y) = (36.6674,-28.7856)
72: (x,y) = (41.629,-28.1675)
73: (x,y) = (42.8767,-23.3257)
74: (x,y) = (47.5024,-21.4275)
75: (x,y) = (49.6632,-16.9185)
76: (x,y) = (44.7196,-16.1693)
77: (x,y) = (46.9203,-20.6589)
78: (x,y) = (51.6255,-22.3505)
79: (x,y) = (56.2841,-20.5345)
80: (x,y) = (61.2645,-20.0925)
81: (x,y) = (66.0653,-21.4896)
82: (x,y) = (69.4654,-17.8235)
83: (x,y) = (65.7251,-21.1417)
84: (x,y) = (70.7202,-21.3627)
85: (x,y) = (74.6036,-24.5122)
86: (x,y) = (69.8552,-22.9462)
87: (x,y) = (65.4995,-25.4014)
88: (x,y) = (60.7795,-23.7516)
89: (x,y) = (62.1555,-28.5585)
90: (x,y) = (61.4717,-23.6055)
91: (x,y) = (56.535,-24.3986)
92: (x,y) = (60.5801,-27.3375)
93: (x,y) = (56.0065,-29.3578)
94: (x,y) = (51.7636,-26.7124)
95: (x,y) = (51.9183,-21.7148)
96: (x,y) = (55.4773,-25.2267)
97: (x,y) = (53.2767,-29.7164)
98: (x,y) = (56.6113,-25.9908)
99: (x,y) = (56.5449,-20.9912)
100: (x,y) = (61.2793,-22.5992)
101: (x,y) = (65.7978,-24.74)
102: (x,y) = (69.6249,-27.9576)
103: (x,y) = (71.1279,-32.7264)
104: (x,y) = (72.9645,-37.3769)
105: (x,y) = (69.0811,-40.5264)
106: (x,y) = (66.3797,-44.7339)
107: (x,y) = (69.1919,-40.5997)
108: (x,y) = (64.5832,-42.5387)
109: (x,y) = (66.7839,-47.0283)
110: (x,y) = (71.5848,-48.4254)
111: (x,y) = (74.2491,-52.6564)
112: (x,y) = (73.1303,-57.5297)
113: (x,y) = (78.0359,-58.4969)
Po 114 krokach delikwent osiagnal polozenie
 (x,y) = (77.837,-63.4929)
Czyli (m,a) = (100.449,-39.2047)
Srednia dlugosc kroku 0.881129
